kitaibaraki_step
ID,birth,dantai,tiki,sokutei_date,sokutei_y,sokutei_m,sokutei_d,step
ID1,1966/4/18 0:00,T,K,2018/1/23 0:00,2018,1,23,2806
ID2,1966/4/18 0:00,T,K,2018/1/26 0:00,2018,1,26,5260
ID3,1966/4/18 0:00,T,K,2018/1/24 0:00,2018,1,24,5941
ID4,1966/4/18 0:00,T,K,2018/1/22 0:00,2018,1,22,6897
ID5,1966/4/18 0:00,T,K,2018/1/21 0:00,2018,1,21,430
ID6,1966/4/18 0:00,T,K,2018/1/20 0:00,2018,1,20,0
ID7,1966/4/18 0:00,T,K,2018/1/19 0:00,2018,1,19,4282
ID8,1966/4/18 0:00,T,K,2018/1/18 0:00,2018,1,18,6362
ID9,1966/4/18 0:00,T,K,2018/1/17 0:00,2018,1,17,5890
ID10,1966/4/18 0:00,T,K,2018/1/16 0:00,2018,1,16,2614
ID11,1966/4/18 0:00,T,K,2018/1/15 0:00,2018,1,15,7693
ID12,1966/4/18 0:00,T,K,2018/1/14 0:00,2018,1,14,635
ID13,1966/4/18 0:00,T,K,2018/1/6 0:00,2018,1,6,2734
ID14,1966/4/18 0:00,T,K,2018/1/25 0:00,2018,1,25,8958
ID15,1966/4/18 0:00,T,K,2018/1/2 0:00,2018,1,2,1794
ID16,1966/4/18 0:00,T,K,2018/1/1 0:00,2018,1,1,930
ID17,1966/4/18 0:00,T,K,2018/1/4 0:00,2018,1,4,234
ID18,1966/4/18 0:00,T,K,2018/1/13 0:00,2018,1,13,6328
ID19,1966/4/18 0:00,T,K,2018/1/5 0:00,2018,1,5,1528
ID20,1966/4/18 0:00,T,K,2018/1/3 0:00,2018,1,3,0
ID21,1966/4/18 0:00,T,K,2018/1/7 0:00,2018,1,7,0
ID22,1966/4/18 0:00,T,K,2018/1/8 0:00,2018,1,8,911
ID23,1966/4/18 0:00,T,K,2018/1/9 0:00,2018,1,9,2228
ID24,1966/4/18 0:00,T,K,2018/1/10 0:00,2018,1,10,5428
ID25,1966/4/18 0:00,T,K,2018/1/11 0:00,2018,1,11,5279
ID26,1966/4/18 0:00,T,K,2018/1/12 0:00,2018,1,12,5798
ID27,1930/2/15 0:00,T,K,2018/2/21 0:00,2018,2,21,0
ID28,1930/2/15 0:00,T,K,2018/2/20 0:00,2018,2,20,121
ID29,1930/2/15 0:00,T,K,2018/2/22 0:00,2018,2,22,0
ID30,1930/2/15 0:00,T,K,2018/2/19 0:00,2018,2,19,3283
